id,business_id,ewallet_payment_id,ewallet_connector_id,transaction_amount,fees_paid_amount,vat_paid_amount,vat_rate,billing_amount,billing_rate,billing_charge_type,external_id,transaction_date,currency,ewallet_type,transaction_type,holding_transaction_id,redeemed_transaction_id,direct_transfer_transaction_id,status,created_at,updated_at,payment_object,settlement_timestamp,holding_reversal_transaction_id,is_t_4_transaction,replicated_to_v_2,dt
9309daa9-060a-4831-855d-dc4e37dfdb5f,5fc0d9a41171b35b7dcd6399,7be3737e-f191-414a-99c8-e88e7aa034dc,c3uaiepurdkmvb9gcrhg,17005.00,255.00,0.00,0.000,255.00,0.015,PERCENTAGE,INV-seppulsa-shopee-38011627171130,2021-07-24 23:59:58.696,IDR,ID_SHOPEEPAY,API,0507e747-bf13-41ed-b37f-9750e1fe2f17,,,HOLDING,2021-07-25 00:00:00.511,2021-07-25 00:00:00.511,"{""id"": ""7be3737e-f191-414a-99c8-e88e7aa034dc"", ""amount"": ""17005"", ""status"": ""SUCCEEDED"", ""paid_at"": ""2021-07-24T23:59:58.696Z"", ""currency"": ""IDR"", ""business_id"": ""5fc0d9a41171b35b7dcd6399"", ""external_id"": ""INV-seppulsa-shopee-38011627171130"", ""ewallet_type"": ""ID_SHOPEEPAY"", ""payment_mode"": ""DIRECT"", ""transaction_type"": ""DIRECT"", ""partner_receipt_id"": ""011394239476029502"", ""connector_reference_id"": ""c3uaiepurdkmvb9gcrhg""}",2021-07-26 23:59:58.696,,False,True,2021-07-25
b2174e60-c2ae-4509-ab32-81a843d62ca6,5e7dc4e8b934e81bf655ace5,5d1acfe4-fb22-4e8d-be55-4c9d4b4cb416,20210725111212800110166445446696470,3000.00,49.00,4.00,0.100,45.00,0.015,PERCENTAGE,20210725075923291220121860000,2021-07-24 23:59:59.000,IDR,DANA,API,477b89fd-a497-4c17-ab37-6c8f437f71de,,,HOLDING,2021-07-25 00:00:02.437,2021-07-25 00:00:02.437,"{""id"": ""5d1acfe4-fb22-4e8d-be55-4c9d4b4cb416"", ""amount"": ""3000.00"", ""status"": ""SUCCESS"", ""currency"": ""IDR"", ""created_at"": ""2021-07-25T00:00:00.078Z"", ""req_msg_id"": ""2325643e-ac7e-4cf2-942e-885798f4aa2f"", ""updated_at"": ""2021-07-25T00:00:00.078Z"", ""business_id"": ""5e7dc4e8b934e81bf655ace5"", ""external_id"": ""20210725075923291220121860000"", ""created_time"": ""2021-07-24T23:59:24.000Z"", ""ewallet_type"": ""DANA"", ""send_counter"": ""0"", ""finished_time"": ""2021-07-24T23:59:59.000Z"", ""acquirement_id"": ""20210725111212800110166445446696470"", ""replicated_to_v2"": false, ""transaction_type"": ""DIRECT"", ""is_sent_to_merchant"": true}",2021-07-26 23:59:59.000,,False,True,2021-07-25
58660ebc-da24-40d2-a09c-2763aef3fa0f,5fd7214551de6c78de48dda1,c38f8136-3046-4a99-ae28-509106b8658a,20210725111212800110166519346779071,10000.00,143.00,13.00,0.100,130.00,0.013,PERCENTAGE,10012021072506592547800013,2021-07-25 00:00:03.000,IDR,DANA,API,33b329cb-2f95-45e0-8a48-d37614e52c51,,,HOLDING,2021-07-25 00:00:06.053,2021-07-25 00:00:06.053,"{""id"": ""c38f8136-3046-4a99-ae28-509106b8658a"", ""amount"": ""10000.00"", ""status"": ""SUCCESS"", ""currency"": ""IDR"", ""created_at"": ""2021-07-25T00:00:03.542Z"", ""req_msg_id"": ""5dbf98ed-3ec2-441e-89d9-e2490373abd8"", ""updated_at"": ""2021-07-25T00:00:03.542Z"", ""business_id"": ""5fd7214551de6c78de48dda1"", ""external_id"": ""10012021072506592547800013"", ""created_time"": ""2021-07-24T23:59:26.000Z"", ""ewallet_type"": ""DANA"", ""send_counter"": ""0"", ""finished_time"": ""2021-07-25T00:00:03.000Z"", ""acquirement_id"": ""20210725111212800110166519346779071"", ""replicated_to_v2"": false, ""transaction_type"": ""DIRECT"", ""is_sent_to_merchant"": true}",2021-07-27 00:00:03.000,,False,True,2021-07-25
4ff6ad7f-43ea-4321-be0e-d02267c82cfb,6012eba3e29d3d060306c50d,8abeebd5-353a-42d8-8a92-5a77e4aed97c,c1ebb1a8-ec29-482e-b00a-22b2cc2a55c5,9700.00,159.00,14.00,0.100,145.00,0.015,PERCENTAGE,P162717119157017867,2021-07-25 00:00:07.675,IDR,OVO,API,ab3e0808-1ffc-40bc-891e-99c7df15388d,,,HOLDING,2021-07-25 00:00:09.277,2021-07-25 00:00:09.277,"{""id"": ""8abeebd5-353a-42d8-8a92-5a77e4aed97c"", ""amount"": ""9700"", ""basket"": null, ""status"": ""COMPLETED"", ""currency"": ""IDR"", ""metadata"": null, ""voided_at"": null, ""created_at"": ""2021-07-24T23:59:52.526Z"", ""updated_at"": ""2021-07-25T00:00:07.701Z"", ""business_id"": ""6012eba3e29d3d060306c50d"", ""customer_id"": null, ""external_id"": ""P162717119157017867"", ""callback_url"": ""https://www.lapakgaming.com/payment/callback-xendit"", ""connector_id"": ""c1ebb1a8-ec29-482e-b00a-22b2cc2a55c5"", ""ewallet_type"": ""OVO"", ""failure_code"": null, ""replicated_to_v2"": false, ""transaction_date"": ""2021-07-25T00:00:07.675Z"", ""transaction_type"": ""API"", ""account_information"": ""081359418338"", ""ewallet_api_version"": ""ewallet-v2""}",2021-07-27 00:00:07.675,,False,False,2021-07-25
309d1a3d-a600-470b-b0cd-8d65795b56b3,60475cba99daa76f15493060,3b1a0362-738a-4566-a2d3-1ee0d18d903d,JTDtuFT3bYzqRQo,100000.00,699.00,63.00,0.100,636.00,0.006,PERCENTAGE,2f80f561-77f2-4dcd-81e0-3acd53b74d71,2021-07-25 00:00:10.000,IDR,QRIS,API,9fed0f83-590b-477c-90f8-6e385ab85e55,5feba52c-d7a0-477d-8437-22d632c7a9ba,968c6cc5-c8ee-411d-893a-66f53f7741cf,COMPLETED,2021-07-25 00:00:12.263,2021-07-25 00:00:32.477,"{""id"": ""3b1a0362-738a-4566-a2d3-1ee0d18d903d"", ""amount"": ""100000"", ""status"": ""COMPLETED"", ""currency"": ""IDR"", ""created_at"": ""2021-07-25T00:00:10.733Z"", ""business_id"": ""60475cba99daa76f15493060"", ""external_id"": ""2f80f561-77f2-4dcd-81e0-3acd53b74d71"", ""ewallet_type"": ""QRIS"", ""phone_number"": ""9360001410550201551"", ""qris_terminal_id"": ""JTDtuFT3bYzqRQo"", ""transaction_date"": ""2021-07-25T00:00:10.000Z"", ""transaction_type"": ""DIRECT"", ""merchant_callback_url"": ""https://invoice-service.tidnex.com/invoices/payment/qris""}",2021-07-25 00:00:10.000,,False,False,2021-07-25
f1cf001d-e567-4fc5-b3fc-e4daa62a0877,5e7dc4e8b934e81bf655ace5,c37560b6-dad2-4c41-8e34-13db6ddbeb91,2f47e4db-e7be-49f5-9ce7-6528737be6de,52500.00,865.00,78.00,0.100,787.00,0.015,PERCENTAGE,20210725075830338220121860000,2021-07-25 00:00:12.205,IDR,LINKAJA,API,dd77f244-518d-4571-b044-a4da2bd85acc,,,HOLDING,2021-07-25 00:00:14.511,2021-07-25 00:00:14.511,"{""id"": ""c37560b6-dad2-4c41-8e34-13db6ddbeb91"", ""items"": [{""id"": ""HagoDiamond"", ""name"": ""Hago钻石"", ""price"": 52500, ""quantity"": 265}], ""amount"": ""52500"", ""msisdn"": ""085713717025"", ""status"": ""SUCCESS_COMPLETED"", ""trx_id"": ""2f47e4db-e7be-49f5-9ce7-6528737be6de"", ""ref_num"": ""hago210725065831342310"", ""currency"": ""IDR"", ""created_at"": ""2021-07-25T00:00:12.205Z"", ""updated_at"": ""2021-07-25T00:00:12.205Z"", ""business_id"": ""5e7dc4e8b934e81bf655ace5"", ""external_id"": ""20210725075830338220121860000"", ""merchant_id"": ""26c247b3-41fe-4e3b-a96c-6cdb7cb3d633"", ""ewallet_type"": ""LINKAJA"", ""request_type"": ""DIRECT"", ""checkout_token"": {""id"": ""4433a083-6cae-476e-84f0-94ed544a3515"", ""items"": [{""id"": ""HagoDiamond"", ""name"": ""Hago钻石"", ""price"": 52500, ""quantity"": 265}], ""amount"": ""52500"", ""basket"": null, ""msisdn"": ""085713717025"", ""status"": ""PENDING"", ""trx_id"": ""2f47e4db-e7be-49f5-9ce7-6528737be6de"", ""ref_num"": ""hago210725065831342310"", ""metadata"": null, ""created_at"": ""2021-07-24T23:58:31.566Z"", ""updated_at"": ""2021-07-24T23:58:31.566Z"", ""business_id"": ""5e7dc4e8b934e81bf655ace5"", ""customer_id"": null, ""external_id"": ""20210725075830338220121860000"", ""merchant_id"": ""26c247b3-41fe-4e3b-a96c-6cdb7cb3d633"", ""failure_code"": null, ""request_type"": ""DIRECT"", ""ewallet_api_version"": ""ewallet-v1"", ""merchant_callback_url"": ""https://yajiada-portal-xpay.joyyinc.com/ntf/Xendit/Wallet"", ""merchant_redirect_url"": ""https://yajiada-portal-xpay.joyyinc.com/rt/Xendit/Wallet?orderId=20210725075830338220121860000""}, ""receipt_number"": ""8GP6NQKK1G"", ""callback_sent_at"": ""2021-07-25T00:00:12.201Z"", ""transaction_type"": ""DIRECT"", ""checkout_token_id"": ""4433a083-6cae-476e-84f0-94ed544a3515"", ""retry_callback_total"": ""0"", ""merchant_callback_url"": ""https://yajiada-portal-xpay.joyyinc.com/ntf/Xendit/Wallet"", ""merchant_redirect_url"": ""https://yajiada-portal-xpay.joyyinc.com/rt/Xendit/Wallet?orderId=20210725075830338220121860000"", ""last_retry_callback_at"": null}",2021-07-27 00:00:12.205,,False,False,2021-07-25
d4291f03-d342-4859-abfe-1ee3f32f50c8,5d0208061c7ccb560ded3609,eb933afe-72a7-458d-a0ec-8367fedf0601,d4c18468-8231-4371-9212-e2bc41c11b64,30000.00,1155.00,105.00,0.100,1050.00,0.035,PERCENTAGE,PCHLP2621574507641086039,2021-07-25 00:00:12.956,IDR,OVO,API,7ce5f61d-d07e-4723-9245-c35d9c62b9fd,,,HOLDING,2021-07-25 00:00:14.564,2021-07-25 00:00:14.564,"{""id"": ""eb933afe-72a7-458d-a0ec-8367fedf0601"", ""amount"": ""30000"", ""basket"": null, ""status"": ""COMPLETED"", ""currency"": ""IDR"", ""metadata"": null, ""voided_at"": null, ""created_at"": ""2021-07-25T00:00:02.914Z"", ""updated_at"": ""2021-07-25T00:00:12.986Z"", ""business_id"": ""5d0208061c7ccb560ded3609"", ""customer_id"": null, ""external_id"": ""PCHLP2621574507641086039"", ""callback_url"": ""https://pay-gate.shareitpay.in/in-pay-channel/c/xendit/payment/wallet/ovo/callback"", ""connector_id"": ""d4c18468-8231-4371-9212-e2bc41c11b64"", ""ewallet_type"": ""OVO"", ""failure_code"": null, ""replicated_to_v2"": false, ""transaction_date"": ""2021-07-25T00:00:12.956Z"", ""transaction_type"": ""API"", ""account_information"": ""082170213123"", ""ewallet_api_version"": ""ewallet-v1""}",2021-07-27 00:00:12.956,,False,False,2021-07-25
85f66dad-a038-4475-87bb-8f6c1a66cf3c,5e7dc4e8b934e81bf655ace5,a7f14463-62a2-423b-98a3-7478e21d5f87,20210725111212800110166028346674883,3000.00,49.00,4.00,0.100,45.00,0.015,PERCENTAGE,20210725075947734220111420000,2021-07-25 00:00:13.000,IDR,DANA,API,770b2007-77f7-423b-a104-5ba8cb2c558a,,,HOLDING,2021-07-25 00:00:15.784,2021-07-25 00:00:15.784,"{""id"": ""a7f14463-62a2-423b-98a3-7478e21d5f87"", ""amount"": ""3000.00"", ""status"": ""SUCCESS"", ""currency"": ""IDR"", ""created_at"": ""2021-07-25T00:00:13.465Z"", ""req_msg_id"": ""554b1eca-6467-46d3-8fcd-9b8801cee98c"", ""updated_at"": ""2021-07-25T00:00:13.465Z"", ""business_id"": ""5e7dc4e8b934e81bf655ace5"", ""external_id"": ""20210725075947734220111420000"", ""created_time"": ""2021-07-24T23:59:48.000Z"", ""ewallet_type"": ""DANA"", ""send_counter"": ""0"", ""finished_time"": ""2021-07-25T00:00:13.000Z"", ""acquirement_id"": ""20210725111212800110166028346674883"", ""replicated_to_v2"": false, ""transaction_type"": ""DIRECT"", ""is_sent_to_merchant"": true}",2021-07-27 00:00:13.000,,False,True,2021-07-25
35834762-d004-43ab-81a9-9ae78840ae9f,60475cba99daa76f15493060,ba1695ca-c5d9-4881-bb85-f85d5af59447,nofiB5ToCD7U4vq,45000.00,314.00,28.00,0.100,286.00,0.006,PERCENTAGE,d1b7c13c-4100-41c3-beac-08aa84d0dfbb,2021-07-25 00:00:17.000,IDR,QRIS,API,22930bdc-ba68-4d2f-9c2c-c270f99a4baf,efd07638-aac0-4152-8fda-b3d6f6dca7fc,0f0b3084-0c84-4637-9339-ff7f6c54888b,COMPLETED,2021-07-25 00:00:19.008,2021-07-25 00:00:32.200,"{""id"": ""ba1695ca-c5d9-4881-bb85-f85d5af59447"", ""amount"": ""45000"", ""status"": ""COMPLETED"", ""currency"": ""IDR"", ""created_at"": ""2021-07-25T00:00:17.427Z"", ""business_id"": ""60475cba99daa76f15493060"", ""external_id"": ""d1b7c13c-4100-41c3-beac-08aa84d0dfbb"", ""ewallet_type"": ""QRIS"", ""phone_number"": ""9360001410550201593"", ""qris_terminal_id"": ""nofiB5ToCD7U4vq"", ""transaction_date"": ""2021-07-25T00:00:17.000Z"", ""transaction_type"": ""DIRECT"", ""merchant_callback_url"": ""https://invoice-service.tidnex.com/invoices/payment/qris""}",2021-07-25 00:00:17.000,,False,False,2021-07-25
4d05c01b-1efe-4c16-813b-a2b61fc100b0,5f1908ca91ec410f8f7a7dd0,55c33ad1-0acd-4133-a3e8-ae5ccd2f7650,091ba9da-47c0-44b8-97d1-2287be9a3702,21200.00,349.00,31.00,0.100,318.00,0.015,PERCENTAGE,ALHD20210725000143M,2021-07-25 00:00:18.080,IDR,OVO,API,1a87fad8-3c47-48fc-bd44-788f728184b0,,,HOLDING,2021-07-25 00:00:19.550,2021-07-25 00:00:19.550,"{""id"": ""55c33ad1-0acd-4133-a3e8-ae5ccd2f7650"", ""amount"": ""21200"", ""basket"": null, ""status"": ""COMPLETED"", ""currency"": ""IDR"", ""metadata"": null, ""voided_at"": null, ""created_at"": ""2021-07-25T00:00:05.921Z"", ""updated_at"": ""2021-07-25T00:00:18.105Z"", ""business_id"": ""5f1908ca91ec410f8f7a7dd0"", ""customer_id"": null, ""external_id"": ""ALHD20210725000143M"", ""callback_url"": ""https://payment.wehelpyou.xyz/webhook/xendit/notification"", ""connector_id"": ""091ba9da-47c0-44b8-97d1-2287be9a3702"", ""ewallet_type"": ""OVO"", ""failure_code"": null, ""replicated_to_v2"": false, ""transaction_date"": ""2021-07-25T00:00:18.080Z"", ""transaction_type"": ""API"", ""account_information"": ""08388377099"", ""ewallet_api_version"": ""ewallet-v2""}",2021-07-27 00:00:18.080,,False,False,2021-07-25
